kind,class,ref_addr,size,instr_structural,instr_offset_only,instr_const_only,name
FUNC,struct,0x200b1708,80,0,6,0,deluge::hid::display::OLED::clearMainImage()
FUNC,struct+const,0x200c1568,132,0,1,5,deluge::gui::menu_item::battery::Level::drawPixelsForOled()
FUNC,struct+const,0x200c3614,668,0,3,3,PlaybackHandler::displayTempoBPM(float) [clone .constprop.0]
FUNC,struct+const,0x200c3ba0,736,0,5,1,SessionView::graphicsRoutine()
FUNC,const,0x200dc6bc,126,0,0,6,non-virtual thunk to MIDIInstrument::~MIDIInstrument()
FUNC,const,0x200dc73c,118,0,0,6,MIDIInstrument::~MIDIInstrument()
FUNC,const,0x200dc7b4,124,0,0,6,MIDIInstrument::~MIDIInstrument()
FUNC,const,0x200dc830,132,0,0,6,non-virtual thunk to MIDIInstrument::~MIDIInstrument()
FUNC,struct+const,0x20103cc8,808,0,5,1,PlaybackHandler::doSongSwap(bool) [clone .constprop.0]
FUNC,struct+const,0x20123fa8,332,0,4,2,"LoadInstrumentPresetUI::buttonAction(unsigned char, bool, bool)"
FUNC,const,0x201608f0,596,0,0,6,"TimeStretcher::init(Sample*, VoiceSample*, SamplePlaybackGuide*, long long, long, long, long, long, long, long, LoopType)"
FUNC,struct+const,0x2006df3c,168,0,4,1,"std::_Rb_tree<unsigned char, std::pair<unsigned char const, long>, std::_Select1st<std::pair<unsigned char const, long> >, std::less<unsigned char>, std::allocator<std::pair<unsigned char const, long> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<unsigned char const, long> >, unsigned char const&) [clone .constprop.0] [clone .isra.0]"
FUNC,struct+const,0x2006e044,168,0,4,1,"std::_Rb_tree<unsigned char, std::pair<unsigned char const, Polarity>, std::_Select1st<std::pair<unsigned char const, Polarity> >, std::less<unsigned char>, std::allocator<std::pair<unsigned char const, Polarity> > >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<std::pair<unsigned char const, Polarity> >, unsigned char const&) [clone .constprop.0] [clone .isra.0]"
FUNC,struct,0x2006e400,64,0,5,0,enqueueCVMessage.isra.0
FUNC,struct+const,0x2006f618,156,0,1,4,MIDIDeviceManager::recountSmallestMPEZones()
FUNC,struct+const,0x2006f714,76,0,1,4,detachedAsPeripheral.constprop.0
FUNC,struct+const,0x20070fa4,80,0,3,2,deluge::hid::display::OLED::drawConsoleTopLine()
FUNC,struct,0x200798cc,150,0,5,0,usb_receive_start_rohan_midi
FUNC,struct,0x2007a99c,152,0,5,0,usb_hstd_ctrl_read_start
FUNC,struct,0x2007c134,312,0,5,0,PadLEDs::sortLedsForCol(long)
FUNC,struct,0x2007c974,106,0,5,0,"Browser::verticalEncoderAction(long, bool)"
FUNC,struct+const,0x20089e94,108,0,3,2,usb_hstd_get_config_desc.constprop.0.isra.0
FUNC,struct,0x2008ba90,180,0,5,0,usb_hstd_status_start
FUNC,struct+const,0x20094adc,300,0,4,1,Browser::displayText(bool)
FUNC,struct,0x20095bd0,104,0,5,0,cvSPITransferComplete
FUNC,struct+const,0x200a9cac,164,0,2,3,"SamplePlaybackGuide::getFinalClusterIndex(Sample*, bool, long*)"
FUNC,struct+const,0x200a9f54,120,0,2,3,AudioFile::removeReason(char const*)
FUNC,struct,0x200bfeec,316,0,5,0,"QwertyUI::drawTextForOLEDEditing(long, long, long, long, deluge::hid::display::oled_canvas::Canvas&)"
FUNC,struct+const,0x200deea8,436,0,1,4,"ArpeggiatorForDrum::switchNoteOn(ArpeggiatorSettings*, ArpReturnInstruction*, bool)"
FUNC,struct+const,0x200ed1d8,408,0,4,1,"SessionView::verticalEncoderAction(long, bool)"
FUNC,struct+const,0x20101870,1592,0,4,1,"InstrumentClip::changeInstrument(ModelStackWithTimelineCounter*, Instrument*, ParamManagerForTimeline*, InstrumentRemoval, InstrumentClip*, bool, bool)"
FUNC,struct+const,0x201028a4,668,0,2,3,"PlaybackHandler::setupPlaybackUsingInternalClock(long, bool, bool, bool) [clone .part.0] [clone .constprop.0]"
FUNC,struct+const,0x20104460,600,0,3,2,Session::doTickForward(long)
FUNC,struct+const,0x201124ac,84,0,2,3,Userdef_SFLASH_Write_Enable.constprop.0
FUNC,struct+const,0x201125a0,2054,0,4,1,disk_read_without_streaming_first.isra.0
FUNC,struct+const,0x20115128,144,0,4,1,"FatFS::Filesystem::mount(unsigned char, char const*) [clone .constprop.0]"
FUNC,struct+const,0x20119120,120,0,4,1,registerTasks()::{lambda()#6}::_FUN()
FUNC,struct+const,0x2012cce8,452,0,3,2,AudioRecorder::opened()
FUNC,struct,0x2012ceec,432,0,5,0,"InstrumentClipView::startAuditioningRow(long, long, bool, bool, NoteRow*, Drum*, bool)"
FUNC,struct,0x20130c44,160,0,5,0,AudioEngine::slowRoutine()
FUNC,struct+const,0x2013f46c,262,0,4,1,ClipView::lengthenClip(long) [clone .isra.0]
FUNC,struct,0x201409c0,156,0,5,0,"LoadPatternUI::setupLoadPatternUI(bool, bool) [clone .constprop.0]"
FUNC,struct,0x20143a5c,854,0,5,0,"AudioClipView::padAction(long, long, long)"
FUNC,struct+const,0x20144304,244,0,4,1,"SampleBrowser::padAction(long, long, long)"
